,open,close,prediction,action,gp,var,cvar
2024-09-14 19:15:00,2421.31,2422.8,2422.0315,buy,0.0006153693661696505,-0.001751110964267522,-0.0010480284855648968
2024-09-14 19:30:00,2422.8,2419.39,2421.799,sell,0.0014094461827156058,-0.0017288481797150005,-0.001065176838703985
2024-09-14 19:45:00,2419.38,2420.42,2420.8362,buy,0.00042986219609981215,-0.0017065853951624794,-0.0010809785372994855
2024-09-14 20:00:00,2420.42,2417.4,2419.9004,sell,0.0012492760817407057,-0.001684322610609958,-0.0010955275339939738
2024-09-14 20:15:00,2417.4,2414.65,2418.6921,buy,-0.0011375858360221725,-0.0016620598260574367,-0.0011089092402807007
2024-09-14 20:30:00,2414.66,2416.72,2417.4639,buy,0.0008531221786918016,-0.0016397970415049155,-0.0011212014755201838
2024-09-14 20:45:00,2416.72,2416.81,2417.4573,buy,3.724055744982684e-05,-0.0016175342569523942,-0.0011324752921720257
2024-09-14 21:00:00,2416.8,2416.33,2416.2393,sell,0.0001945098558558867,-0.0015952714723998728,-0.001142795695677991
2024-09-14 21:15:00,2416.32,2421.98,2418.0352,buy,0.002342404979472857,-0.0015730086878473514,-0.001152222274359697
2024-09-14 21:30:00,2421.97,2419.6,2416.114,sell,0.0009795007439245705,-0.0015507459032948303,-0.0011608097521859755
2024-09-14 21:45:00,2419.61,2420.12,2427.2412,buy,0.00021077776997109596,-0.0015284831187423091,-0.0011686084752081526
2024-09-14 22:00:00,2420.12,2421.26,2414.212,sell,-0.00047082923766977825,-0.0015062203341897876,-0.001175664840767646
2024-09-14 22:15:00,2421.25,2421.25,2427.9656,buy,0.0,-0.0014839575496372664,-0.0011820216771796102
2024-09-14 22:30:00,2421.25,2416.54,2429.3354,buy,-0.0019452762003097724,-0.0018014217858653237,-0.001187718580433528
2024-09-14 22:45:00,2416.53,2418.54,2429.1902,buy,0.000831771176025029,-0.0017942345256370662,-0.001199083454608191
2024-09-14 23:00:00,2418.55,2420.11,2412.9524,sell,-0.0006445987992281117,-0.001787047265408809,-0.0012099043831723525
2024-09-14 23:15:00,2420.11,2415.6,2410.087,sell,0.0018670309653917117,-0.0017798600051805514,-0.001220210506069432
2024-09-14 23:30:00,2415.6,2417.25,2428.384,buy,0.0006830601092896552,-0.0017726727449522942,-0.0012300289183345393
2024-09-14 23:45:00,2417.24,2418.09,2409.91,sell,-0.0003515171064767497,-0.0017654854847240367,-0.001239384846379673
2024-09-15 00:00:00,2418.09,2414.0,2425.9695,buy,-0.0016914176064580495,-0.0017582982244957793,-0.0012483018063516114
2024-09-15 00:15:00,2414.0,2415.2,2424.849,buy,0.0004971002485500489,-0.001751110964267522,-0.001256801746654014
2024-09-15 00:30:00,2415.19,2413.51,2410.415,sell,0.0006960816404323314,-0.0017481262963770484,-0.001264905176450957
2024-09-15 00:45:00,2413.51,2414.34,2408.7676,sell,-0.0003437792523008057,-0.0017451416284865746,-0.001272699065482023
2024-09-15 01:00:00,2414.34,2400.79,2409.6929,sell,0.0056439755247231875,-0.001742156960596101,-0.0012801981537836824
2024-09-15 01:15:00,2400.79,2398.39,2408.265,buy,-0.000999670941648412,-0.0017391722927056275,-0.0012874162601401264
2024-09-15 01:30:00,2398.4,2403.03,2403.0803,buy,0.0019304536357572168,-0.0017361876248151538,-0.0012943663529488263
2024-09-15 01:45:00,2403.03,2407.36,2394.7498,sell,-0.0017986508042004217,-0.0017843888522205518,-0.0013010606146437707
2024-09-15 02:00:00,2407.35,2405.6,2401.9233,sell,0.0007274692384436316,-0.0017820118602239067,-0.0013082744689359616
2024-09-15 02:15:00,2405.6,2410.23,2408.463,buy,0.0019246757565680535,-0.0017796348682272618,-0.0013152411952784314
2024-09-15 02:30:00,2410.23,2409.75,2407.1082,sell,0.0001991907874260891,-0.0017772578762306167,-0.0013219715383646462
2024-09-15 02:45:00,2409.75,2408.71,2406.625,sell,0.0004317663811749707,-0.0017748808842339718,-0.0013284756289055888
2024-09-15 03:00:00,2408.71,2408.2,2406.625,sell,0.00021177643052911648,-0.0017725038922373267,-0.0013347630268679602
2024-09-15 03:15:00,2408.2,2412.93,2405.8591,sell,-0.001960272365961722,-0.001837132950053321,-0.0013408427611092018
2024-09-15 03:30:00,2412.92,2412.16,2405.7986,sell,0.0003150703104272595,-0.0018323226818217086,-0.0013476412568481622
2024-09-15 03:45:00,2412.16,2416.12,2417.1973,buy,0.0016416821438047379,-0.001827512413590096,-0.0013541910058342912
2024-09-15 04:00:00,2416.12,2416.57,2406.5737,sell,-0.00018621434512564204,-0.0018227021453584838,-0.001360501957937702
2024-09-15 04:15:00,2416.58,2418.04,2417.0579,buy,0.0006041595974476477,-0.0018178918771268712,-0.0013665835393511334
2024-09-15 04:30:00,2418.03,2414.91,2416.1008,sell,0.0012919736139236433,-0.0018130816088952589,-0.0013724446865949742
2024-09-15 04:45:00,2414.91,2416.57,2417.036,buy,0.0006873962176645545,-0.0018082713406636466,-0.0013780938779065163
2024-09-15 05:00:00,2416.57,2414.52,2417.1204,buy,-0.0008483097944608192,-0.001803461072432034,-0.0013835391622452143
2024-09-15 05:15:00,2414.53,2413.81,2413.9067,sell,0.0002982836263004357,-0.0017986508042004217,-0.0013887881861225492
2024-09-15 05:30:00,2413.8,2417.74,2413.9067,buy,0.0016322810506254038,-0.0017962738122037768,-0.0013938482184444982
2024-09-15 05:45:00,2417.74,2416.93,2413.919,sell,0.0003351358955368776,-0.0017938968202071317,-0.0013987558476366846
2024-09-15 06:00:00,2416.92,2417.19,2412.9644,sell,-0.0001116999491144601,-0.0017915198282104866,-0.001403516582245967
2024-09-15 06:15:00,2417.2,2414.76,2413.0725,sell,0.0010104523845018136,-0.0017891428362138417,-0.0014081356685074495
2024-09-15 06:30:00,2414.77,2417.24,2409.6697,sell,-0.0010218265459779748,-0.0017867658442171966,-0.0014126181057745836
2024-09-15 06:45:00,2417.23,2417.79,2410.7998,sell,-0.0002316164762034525,-0.0017843888522205518,-0.0014169686608727534
2024-09-15 07:00:00,2417.8,2419.6,2409.878,sell,-0.0007439246156388359,-0.0017820118602239067,-0.001421191881462958
2024-09-15 07:15:00,2419.6,2422.6,2410.168,sell,-0.001238338974655329,-0.0017796348682272618,-0.0014252921084943325
2024-09-15 07:30:00,2422.59,2422.46,2422.7412,buy,-5.366157707251707e-05,-0.0017772578762306167,-0.0014292734878171745
2024-09-15 07:45:00,2422.47,2419.63,2425.0369,buy,-0.0011723571396135726,-0.0017748808842339718,-0.0014331399810217683
2024-09-15 08:00:00,2419.63,2425.64,2425.0369,buy,0.002483850836698075,-0.001772503892237327,-0.0014368953755625618
2024-09-15 08:15:00,2425.64,2425.83,2424.6223,sell,-7.832370776190193e-05,-0.0017701269002406818,-0.00144054329422207
2024-09-15 08:30:00,2425.83,2424.45,2424.1096,sell,0.0005692012621419741,-0.0017677499082440367,-0.0014440872039642055
2024-09-15 08:45:00,2424.46,2425.45,2422.2341,sell,-0.000408171679482068,-0.0017653729162473918,-0.0014475304242225018
2024-09-15 09:00:00,2425.44,2422.59,2423.1072,sell,0.0011764268819733875,-0.001762995924250747,-0.0014508761346648691
2024-09-15 09:15:00,2422.59,2421.12,2423.2126,buy,-0.0006067886022811349,-0.0017606189322541019,-0.0014541273824730551
2024-09-15 09:30:00,2421.13,2423.59,2421.3508,buy,0.0010160544869544537,-0.0017582419402574568,-0.0014572870891718286
2024-09-15 09:45:00,2423.59,2425.58,2421.407,sell,-0.000820422331978241,-0.0017558649482608119,-0.0014603580570400493
2024-09-15 10:00:00,2425.58,2425.57,2421.1726,sell,4.122742283159641e-06,-0.0017534879562641668,-0.0014633429751331882
2024-09-15 10:15:00,2425.57,2422.54,2428.8198,buy,-0.001249190911826993,-0.001751110964267522,-0.001466244424944498
2024-09-15 10:30:00,2422.54,2422.91,2428.8198,buy,0.0001527322562268903,-0.0017481262963770481,-0.0014690648857298746
2024-09-15 10:45:00,2422.92,2420.09,2420.7954,sell,0.0011693779983388746,-0.0017451416284865746,-0.00147180078191269
2024-09-15 11:00:00,2420.09,2421.19,2419.941,sell,-0.00045432204824896397,-0.001742156960596101,-0.001474454576539621
2024-09-15 11:15:00,2421.18,2416.9,2419.3743,sell,0.0017708635028341037,-0.0017391722927056275,-0.0014770286379247796
2024-09-15 11:30:00,2416.91,2415.74,2417.8413,buy,-0.0004840891882610742,-0.0017361876248151538,-0.0014795252441607877
2024-09-15 11:45:00,2415.74,2416.79,2417.228,buy,0.00043464942419307623,-0.0017332029569246802,-0.001481946587374508
2024-09-15 12:00:00,2416.8,2419.55,2416.2886,sell,-0.0011365749829513752,-0.0017302182890342065,-0.0014842947777441357
2024-09-15 12:15:00,2419.55,2420.56,2415.8977,sell,-0.00041725881614162156,-0.001727233621143733,-0.001486571847293118
2024-09-15 12:30:00,2420.56,2420.19,2417.22,sell,0.00015288055896433374,-0.0017242489532532594,-0.0014887797534752338
2024-09-15 12:45:00,2420.2,2418.66,2429.3564,buy,-0.0006363110486736483,-0.0017212642853627856,-0.0014909203825641249
2024-09-15 13:00:00,2418.67,2420.23,2414.658,sell,-0.0006445668386888623,-0.001718279617472312,-0.0014929955528596084
2024-09-15 13:15:00,2420.23,2420.18,2413.0193,sell,2.0659620358891447e-05,-0.0017152949495818385,-0.0014950070177222215
2024-09-15 13:30:00,2420.19,2419.8,2427.716,buy,-0.00016114437296240074,-0.0017123102816913648,-0.001496956468446643
2024-09-15 13:45:00,2419.8,2421.15,2427.0903,buy,0.000557897346888135,-0.0017093256138008912,-0.0014988455369838772
2024-09-15 14:00:00,2421.15,2420.55,2426.6882,buy,-0.00024781612043859696,-0.0017063409459104177,-0.0015006757985214164
2024-09-15 14:15:00,2420.55,2423.61,2428.0557,buy,0.001264175497304309,-0.001703356278019944,-0.0015024487739299422
2024-09-15 14:30:00,2423.61,2421.69,2428.3792,buy,-0.0007922066669142613,-0.0017003716101294704,-0.0015041659320845578
2024-09-15 14:45:00,2421.69,2422.9,2427.8582,buy,0.0004996510701204681,-0.0016973869422389968,-0.0015058286920679894
2024-09-15 15:00:00,2422.89,2419.83,2425.189,buy,-0.001262954570781152,-0.001694402274348523,-0.0015074384252627038
2024-09-15 15:15:00,2419.83,2414.8,2423.4602,buy,-0.002078658418153236,-0.001751110964267522,-0.001508996457338419
2024-09-15 15:30:00,2414.8,2417.06,2423.5972,buy,0.0009358953122410814,-0.0017481262963770481,-0.001510997403676676
2024-09-15 15:45:00,2417.06,2415.4,2409.1648,sell,0.0006872567690651049,-0.0017451416284865746,-0.0015129410831250397
2024-09-15 16:00:00,2415.4,2411.88,2422.2812,buy,-0.0014573155584996199,-0.001742156960596101,-0.001514828892436922
2024-09-15 16:15:00,2411.88,2414.33,2423.1094,buy,0.001015805098097674,-0.0017391722927056275,-0.0015166621833091736
2024-09-15 16:30:00,2414.33,2414.02,2407.4934,sell,0.00012841650027752273,-0.0017361876248151538,-0.001518442264184345
2024-09-15 16:45:00,2414.02,2412.78,2421.8916,buy,-0.0005136660011100909,-0.0017332029569246802,-0.0015201704019671292
2024-09-15 17:00:00,2412.78,2410.87,2406.533,sell,0.0007922451231299528,-0.0017302182890342065,-0.0015218478236597084
2024-09-15 17:15:00,2410.87,2407.98,2406.1245,sell,0.0012001760811966348,-0.001727233621143733,-0.0015234757179204467
2024-09-15 17:30:00,2407.98,2410.69,2405.7295,sell,-0.0011241594730139655,-0.0017242489532532594,-0.0015250552365500844
2024-09-15 17:45:00,2410.69,2409.63,2405.8215,sell,0.0004399015616505212,-0.0017212642853627856,-0.0015265874959093399
2024-09-15 18:00:00,2409.63,2405.48,2405.8215,sell,0.0017252273974425441,-0.001718279617472312,-0.00152807357827158
2024-09-15 18:15:00,2405.48,2405.7,2405.758,buy,9.145783793662799e-05,-0.0017152949495818385,-0.0015295145331140096
2024-09-15 18:30:00,2405.71,2408.0,2406.1616,buy,0.0009519019333169682,-0.0017123102816913648,-0.0015309113783506098
